input1,input2,target1,target2
17.5,576.2,57.6,848.0
35.9,598.6,24.8,905.0
31.4,612.1,22.3,578.0
23.7,624.2,15.6,382.0
20.2,635.2,16.5,298.0
18.5,649.0,14.9,262.0
18.2,657.0,2.1,301.0
17.7,653.9,-9.6,0.0
16.3,647.3,-0.7,0.0
14.8,646.5,2.3,186.0
14.5,648.5,6.8,175.0
14.8,650.5,4.6,207.0
15.1,650.5,2.0,167.0
15.1,650.3,7.3,196.0
15.1,648.4,-3.9,0.0
14.8,650.0,9.0,191.0
14.5,649.6,4.4,173.0
14.4,650.7,0.9,169.0
14.7,649.5,8.8,199.0
14.8,650.9,4.6,207.0
15.2,650.1,9.5,200.0
15.3,655.0,32.8,194.0
16.2,661.5,94.2,238.0
20.6,659.0,132.6,367.0
26.9,654.8,159.3,501.0
31.8,652.7,156.6,581.0
35.5,652.7,179.2,629.0
37.9,653.1,186.2,653.0
40.1,651.6,187.2,689.0
42.1,653.4,195.6,698.0
44.2,653.1,212.9,724.0
46.2,652.0,221.0,735.0
48.0,651.9,229.5,750.0
49.5,652.2,248.9,766.0
51.7,651.4,254.6,779.0
53.1,651.0,256.6,781.0
54.3,652.3,268.6,805.0
56.0,652.4,264.4,817.0
57.5,652.4,287.6,826.0
59.3,653.5,301.1,832.0
61.6,652.9,315.7,839.0
63.6,653.2,314.4,856.0
65.3,652.0,341.1,863.0
67.3,652.4,345.7,871.0
69.2,652.4,341.6,892.0
70.5,652.6,361.2,890.0
71.9,652.3,359.9,910.0
73.6,652.8,384.3,926.0
75.7,651.9,385.7,942.0
77.5,652.0,398.4,965.0
79.2,652.5,409.1,976.0
81.0,652.3,419.5,1021.0
82.5,655.0,438.0,1018.0
84.8,651.3,441.7,1048.0
86.4,652.2,451.3,1052.0
87.9,651.8,456.0,1081.0
89.8,651.9,469.9,1100.0
91.5,651.4,467.1,1110.0
92.7,653.4,489.6,1130.0
94.7,653.1,498.0,1153.0
96.9,652.2,509.0,1183.0
99.9,651.2,519.3,1213.0
101.5,652.0,524.5,1234.0
103.1,652.7,541.2,1238.0
105.2,651.6,538.9,1257.0
106.5,652.8,562.2,1273.0
108.9,651.4,561.0,1302.0
110.8,652.3,579.4,1315.0
112.0,653.2,586.9,1314.0
114.0,651.9,595.2,1343.0
115.9,652.7,608.8,1347.0
117.8,651.0,614.0,1382.0
119.7,653.6,629.4,1386.0
121.7,652.8,627.2,1400.0
123.5,652.4,651.6,1425.0
125.9,651.8,650.7,1457.0
128.0,652.2,670.6,1450.0
129.9,651.8,672.5,1464.0
131.4,654.2,683.6,1473.0
133.6,651.4,695.0,1474.0
135.6,651.8,699.5,1491.0
138.0,653.1,718.0,1503.0
140.1,652.4,722.0,1507.0
141.3,653.4,738.9,1502.0
143.9,650.8,737.8,1540.0
145.7,652.3,764.7,1540.0
147.7,652.7,757.1,1548.0
150.4,651.5,773.6,1556.0
152.4,652.7,785.1,1568.0
154.4,652.9,788.1,1564.0
156.0,652.8,807.4,1547.0
158.3,652.4,809.8,1552.0
160.9,652.8,828.9,1565.0
163.6,651.9,829.5,1547.0
165.3,652.0,839.4,1563.0
167.5,653.1,851.0,1546.0
168.7,653.5,858.4,1526.0
171.5,653.4,879.5,1536.0
174.8,651.7,876.5,1540.0
177.5,652.2,897.5,1530.0
179.1,652.1,895.0,1497.0
181.0,652.3,917.5,1501.0
183.9,652.0,917.0,1506.0
185.6,653.5,927.8,1485.0
187.5,652.9,941.3,1483.0
189.6,651.7,944.6,1472.0
191.4,651.2,959.0,1475.0
193.3,651.1,952.3,1470.0
193.8,650.2,958.1,1471.0
193.9,650.4,956.9,1453.0
194.3,651.9,956.4,1465.0
193.4,659.9,967.4,1489.0
192.7,668.6,963.3,1480.0
192.3,679.9,956.3,1463.0
192.3,689.4,960.5,1446.0
194.4,696.6,966.6,1445.0
194.7,704.7,970.6,1429.0
194.9,713.3,965.6,1420.0
195.2,723.1,973.4,1417.0
195.4,731.7,973.4,1422.0
196.1,739.1,979.0,1413.0
197.2,747.2,969.5,1419.0
196.8,758.5,982.2,1415.0
196.6,766.8,995.5,1417.0
196.2,774.8,992.5,1408.0
196.5,782.8,991.3,1416.0
197.4,790.9,1000.8,1413.0
197.1,800.5,993.7,1403.0
197.0,809.2,997.6,1392.0
197.0,818.0,1006.6,1388.0
197.5,823.5,1002.1,1390.0
197.5,826.2,1016.8,1395.0
197.5,822.5,1010.6,1391.0
197.6,822.6,1008.0,1393.0
197.7,822.0,1015.6,1387.0
197.3,822.7,1013.6,1391.0
194.8,818.9,990.3,1377.0
190.7,812.4,943.9,1402.0
184.3,816.3,931.0,1400.0
179.3,820.1,908.4,1383.0
177.5,819.4,901.8,1391.0
175.3,820.4,888.0,1388.0
173.2,820.2,881.5,1377.0
171.3,819.5,873.1,1370.0
167.9,819.8,856.4,1367.0
165.9,820.2,852.7,1360.0
163.7,821.3,838.8,1358.0
162.3,819.5,831.8,1344.0
160.8,820.0,817.4,1350.0
159.1,818.3,812.1,1346.0
155.8,821.0,797.6,1319.0
153.6,820.8,794.5,1309.0
152.4,820.0,780.3,1304.0
150.9,820.2,767.1,1287.0
148.6,818.8,753.3,1269.0
145.9,820.6,750.0,1257.0
144.5,819.4,736.7,1264.0
143.1,821.0,730.4,1262.0
141.5,819.0,717.0,1242.0
138.5,820.5,708.5,1218.0
137.3,818.8,699.5,1218.0
136.1,819.5,685.0,1202.0
134.6,820.4,680.9,1195.0
132.6,819.2,665.3,1190.0
130.6,820.8,660.8,1164.0
128.4,820.9,645.2,1153.0
126.6,819.3,643.0,1149.0
123.4,820.2,624.4,1124.0
121.1,819.4,617.6,1108.0
118.6,820.0,604.0,1087.0
116.7,820.8,594.4,1089.0
114.6,818.8,588.4,1075.0
112.4,821.3,574.0,1061.0
111.6,819.1,566.5,1060.0
109.6,821.2,552.9,1032.0
107.5,818.8,547.4,1019.0
105.3,820.9,531.1,1003.0
103.8,819.5,526.0,999.0
102.0,820.5,510.8,985.0
100.7,821.4,510.2,971.0
99.7,819.0,493.6,965.0
97.6,820.8,486.6,945.0
95.6,818.1,474.2,936.0
93.8,819.2,465.4,927.0
92.1,819.6,446.6,906.0
89.8,821.3,445.7,894.0
87.8,820.6,438.3,877.0
85.3,820.3,425.3,859.0
83.5,820.4,418.8,832.0
81.9,816.9,380.0,813.0
79.3,821.5,390.3,794.0
77.8,822.0,378.4,782.0
76.6,820.9,376.2,762.0
74.9,820.8,358.3,758.0
74.1,821.0,356.1,750.0
72.6,820.2,346.5,723.0
70.3,819.6,331.4,692.0
68.8,820.0,327.1,694.0
67.7,820.1,310.6,681.0
65.8,820.2,304.8,662.0
64.1,819.2,289.9,642.0
62.2,819.9,279.0,633.0
60.5,819.4,269.6,619.0
58.8,820.7,262.7,610.0
57.2,820.6,252.3,602.0
55.7,820.4,244.4,597.0
54.3,820.2,237.4,594.0
53.0,820.2,220.5,592.0
51.3,820.3,215.4,577.0
49.5,820.8,207.1,568.0
48.0,819.2,195.5,560.0
45.8,820.6,174.3,546.0
44.2,818.8,171.0,544.0
42.5,818.6,137.0,528.0
40.2,821.3,143.2,513.0
38.4,819.4,140.5,495.0
36.3,819.0,135.1,485.0
34.7,819.4,107.3,468.0
33.1,821.3,106.4,452.0
31.9,820.3,87.8,432.0
30.3,822.1,96.0,423.0
29.2,819.7,74.1,403.0
27.3,821.7,62.9,370.0
26.0,820.0,56.3,356.0
24.7,820.8,51.6,326.0
23.5,820.6,45.8,305.0
22.1,820.2,26.1,269.0
20.4,821.6,22.4,234.0
18.8,819.4,2.7,193.0
17.2,819.8,-5.8,0.0
15.7,816.1,-42.3,0.0
12.2,819.4,-97.2,0.0
6.8,840.1,-116.2,0.0
3.9,851.6,-109.2,0.0
2.7,860.1,-97.5,0.0
2.0,869.4,-111.6,0.0
1.6,877.7,-106.4,0.0
1.3,884.9,-111.4,0.0
1.1,893.9,-106.3,0.0
1.0,904.0,-114.2,0.0
0.9,910.0,-113.1,0.0
0.8,920.6,-114.8,0.0
0.8,928.7,-114.6,0.0
0.7,938.0,-120.3,0.0
0.7,944.7,-116.5,0.0
0.7,954.5,-115.4,0.0
0.6,963.6,-112.7,0.0
0.7,971.3,-111.0,0.0
0.8,983.1,-93.3,0.0
3.2,1000.0,-34.3,0.0
8.0,1009.4,-9.2,0.0
13.0,1003.4,32.2,146.0
16.7,998.7,52.4,188.0
18.9,999.7,56.6,215.0
21.1,997.9,68.3,250.0
23.2,996.8,83.5,277.0
25.2,998.6,86.8,310.0
27.4,999.0,109.7,349.0
29.7,998.6,114.0,384.0
32.2,999.6,142.8,421.0
34.9,1001.7,164.4,449.0
37.4,997.0,170.1,478.0
39.5,997.7,186.1,499.0
41.8,998.0,194.7,520.0
44.3,1000.0,202.6,548.0
46.9,997.8,223.7,570.0
49.1,997.0,239.0,589.0
51.2,997.2,250.9,604.0
53.2,998.3,263.7,614.0
55.7,998.1,278.9,636.0
58.4,1000.0,297.5,649.0
61.2,998.5,313.1,659.0
64.3,999.6,329.4,674.0
66.8,999.0,332.6,679.0
69.0,999.0,352.7,688.0
71.8,997.4,372.4,695.0
74.5,997.3,377.1,698.0
76.5,998.5,393.9,703.0
78.9,999.3,400.2,712.0
81.7,997.8,423.5,727.0
83.9,1000.0,439.1,734.0
86.7,999.0,448.2,762.0
89.7,998.7,464.2,778.0
91.6,1000.0,480.2,784.0
94.9,996.9,495.3,804.0
97.6,999.2,508.3,821.0
98.8,996.8,522.5,831.0
100.4,999.0,523.5,845.0
103.4,1000.0,544.3,867.0
107.2,997.4,567.2,887.0
109.2,1000.0,574.5,891.0
111.5,997.6,592.3,904.0
113.9,999.5,607.3,916.0
118.2,998.6,619.8,941.0
121.5,998.7,638.3,951.0
124.1,997.0,647.5,965.0
126.6,997.8,659.8,973.0
128.8,999.1,675.4,974.0
131.8,998.1,693.6,989.0
134.5,998.2,705.6,991.0
136.1,998.4,719.1,994.0
138.2,998.8,729.8,1004.0
141.9,997.6,742.1,1015.0
144.1,998.0,766.9,1022.0
146.0,998.8,780.8,1036.0
148.5,1000.1,791.8,1047.0
151.6,998.8,806.5,1053.0
155.4,996.8,820.7,1068.0
157.1,997.8,832.5,1074.0
158.5,999.2,846.4,1085.0
161.6,998.2,852.2,1084.0
164.2,997.6,873.2,1090.0
166.7,998.0,891.4,1108.0
170.2,997.2,903.5,1120.0
172.5,999.0,916.5,1131.0
175.7,998.3,928.4,1145.0
179.1,997.8,946.0,1157.0
181.8,997.8,959.4,1158.0
183.7,998.1,972.0,1154.0
185.2,998.9,988.2,1162.0
189.9,997.3,1003.0,1182.0
193.3,997.8,1015.7,1172.0
193.8,996.9,1030.9,1181.0
195.2,997.0,1040.3,1187.0
197.8,996.6,1050.2,1199.0
201.2,999.3,1071.6,1204.0
